Ballots Issued to Voters	Ballots Cast	County	% counted	Ballots Counted	Ballots Remaining
7449	6430	VENANGO	0	0	6430
4865	4137	CLARION	0.1139	471	3666
4988	4453	SNYDER	0.9737	4336	117
24271	20431	FRANKLIN	0	0	20431
15285	13272	PIKE	0.9896	13134	138
20041	16260	SCHUYLKILL	0.6421	10440	5820
64808	54813	DAUPHIN	0.9855	54019	794
107691	90223	LANCASTER	0.48	43306	46917
16106	12625	LAWRENCE	0.9477	11965	660
4602	3923	ELK	0.9549	3746	177
3634	3309	MONTOUR	0	0	3309
88531	77054	LEHIGH	0.2443	18823	58231
9229	8525	CLEARFIELD	0.9131	7784	741
944	793	SULLIVAN	0.9836	780	13
5144	4108	CLINTON	0.9199	3779	329
27139	21468	LEBANON	0.9242	19841	1627
11064	9219	CARBON	0	0	9219
21014	18980	ADAMS	0	0	18980
35874	32710	CENTRE	0.8716	28510	4200
275789	241182	MONTGOMERY	0.5198	125368	115814
2771	2387	JUNIATA	0	0	2387
196990	155862	BUCKS	0.2977	46405	109457
5068	4370	GREENE	0	0	4370
6763	5686	PERRY	0.9043	5142	544
15684	12881	LYCOMING	0.9806	12631	250
5146	4632	HUNTINGDON	0	0	4632
406192	348554	ALLEGHENY	0.4965	173068	175486
799	721	CAMERON	0	0	721
19388	14971	MERCER	0	0	14971
12818	10914	CRAWFORD	0	0	10914
22421	15014	FAYETTE	0.8934	13414	1600
8129	6503	BRADFORD	0	0	6503
35106	29652	BEAVER	0	0	29652
1917	1581	POTTER	0.981	1551	30
5699	4356	MIFFLIN	0.9842	4287	69
9947	8858	WAYNE	0.9834	8711	147
75478	60167	WESTMORELAND	0.4598	27665	32502
20338	17148	BLAIR	0	0	17148
12531	10696	INDIANA	0	0	10696
90581	76881	YORK	0	0	76881
71018	54783	LUZERNE	0.4857	26610	28173
4868	4049	MCKEAN	0.6725	2723	1326
49256	42029	LACKAWANNA	0.9829	41310	719
38587	32998	MONROE	0.0202	668	32330
1535	1244	FULTON	0.9719	1209	35
6556	5451	WARREN	0.9345	5094	357
5452	4565	TIOGA	0	0	4565
6515	5582	SUSQUEHANNA	0.9873	5511	71
82041	64336	BERKS	0.8242	53028	11308
848	734	FOREST	0.9837	722	12
153266	110856	DELAWARE	0.7422	82274	28582
6683	5624	BEDFORD	0.9948	5595	29
6885	6122	UNION	0.9709	5944	178
9853	8466	COLUMBIA	0	0	8466
57275	50028	ERIE	0.2952	14769	35259
432873	351815	PHILADELPHIA	0.2153	75755	276060
21054	17747	CAMBRIA	0.908	16114	1633
59048	52940	CUMBERLAND	0	0	52940
84073	73830	NORTHAMPTON	0.7006	51725	22105
170240	145860	CHESTER	0.3837	55961	89899
9257	8294	SOMERSET	0.9332	7740	554
11249	9241	NORTHUMBERLAND	0.9885	9135	106
4710	4125	WYOMING	0.9852	4064	61
5120	4328	JEFFERSON	0.9718	4206	122
43014	36896	WASHINGTON	0.9653	35617	1279
38702	32230	BUTLER	0	0	32230
8719	6957	ARMSTRONG	0	0	6957
